country,indicator,date_key,value,source,url
Austria,Daily hospital occupancy,20200402,1057,Surveillance,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html
Austria,Daily hospital occupancy,20200408,1096,Surveillance,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html
Austria,Daily hospital occupancy,20200415,1001,Surveillance,https://info.gesundheitsministerium.at/dashboard_Epidem.html?l=de
Austria,Daily hospital occupancy,20200416,967,Surveillance,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html
Austria,Daily hospital occupancy,20200417,909,Surveillance,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html
Austria,Daily hospital occupancy,20200419,817,Surveillance,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html
Austria,Daily hospital occupancy,20200421,756,Surveillance,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html
Austria,Daily hospital occupancy,20200422,700,Surveillance,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html
Austria,Daily hospital occupancy,20200423,677,Surveillance,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html
Austria,Daily hospital occupancy,20200424,651,Surveillance,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html
Austria,Daily hospital occupancy,20200427,579,Surveillance,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html
Austria,Daily hospital occupancy,20200428,561,Surveillance,https://info.gesundheitsministerium.at/dashboard_Epidem.html?l=de
Austria,Daily hospital occupancy,20200429,517,Surveillance,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html
Austria,Daily hospital occupancy,20200430,500,Country_Website,
Austria,Daily hospital occupancy,20200502,428,Country_Website,
Austria,Daily hospital occupancy,20200503,422,Country_Website,
Austria,Daily hospital occupancy,20200504,420,Country_Website,
Austria,Daily hospital occupancy,20200505,418,Country_Website,
Austria,Daily hospital occupancy,20200506,418,Country_Website,
Austria,Daily hospital occupancy,20200507,360,Country_Website,
Austria,Daily hospital occupancy,20200508,339,Country_Website,
Austria,Daily hospital occupancy,20200509,309,Country_Website,
Austria,Daily hospital occupancy,20200510,291,Country_Website,
Austria,Daily hospital occupancy,20200511,279,Country_Website,
Austria,Daily hospital occupancy,20200512,264,Country_Website,
Austria,Daily hospital occupancy,20200513,243,Country_Website,
Austria,Daily hospital occupancy,20200514,234,Country_Website,
Austria,Daily hospital occupancy,20200515,212,Country_Website,
Austria,Daily hospital occupancy,20200516,208,Country_Website,
Austria,Daily hospital occupancy,20200517,197,Country_Website,
Austria,Daily hospital occupancy,20200518,196,Country_Website,
Austria,Daily hospital occupancy,20200520,174,Country_Website,
Austria,Daily hospital occupancy,20200521,188,Country_Website,
Austria,Daily hospital occupancy,20200522,159,Country_Website,
Austria,Daily hospital occupancy,20200523,144,Country_Website,
Austria,Daily hospital occupancy,20200524,137,Country_Website,
Austria,Daily hospital occupancy,20200525,139,Country_Website,
Austria,Daily hospital occupancy,20200526,127,Country_Website,
Austria,Daily hospital occupancy,20200527,116,Country_Website,
Austria,Daily hospital occupancy,20200528,107,Country_Website,
Austria,Daily hospital occupancy,20200529,103,Country_Website,
Austria,Daily hospital occupancy,20200530,98,Country_Website,
Austria,Daily hospital occupancy,20200531,97,Country_Website,
Austria,Daily hospital occupancy,20200601,97,Country_Website,
Austria,Daily hospital occupancy,20200602,88,Country_Website,
Austria,Daily hospital occupancy,20200603,87,Country_Website,
Austria,Daily hospital occupancy,20200604,87,Country_Website,
Austria,Daily hospital occupancy,20200605,75,Country_Website,
Austria,Daily hospital occupancy,20200606,72,Country_Website,
Austria,Daily hospital occupancy,20200607,69,Country_Website,
Austria,Daily hospital occupancy,20200608,82,Country_Website,
Austria,Daily hospital occupancy,20200609,84,Country_Website,
Austria,Daily hospital occupancy,20200610,80,Country_Website,
Austria,Daily hospital occupancy,20200611,81,Country_Website,
Austria,Daily hospital occupancy,20200612,69,Country_Website,
